

[2024-03-18 18:45:17] BASELINE with simpleCNN
model total parameters: 15,770
model total parameters: 15,770
[2024-03-18 18:49:28] Epoch [1/10], phase: train, samples: 58437, Loss: 0.0102, Top-1 Accuracy: 22.97%, Top-3 Accuracy: 51.10%
[2024-03-18 18:49:36] Epoch [1/10], phase: val, samples: 19479, Loss: 0.0077, Top-1 Accuracy: 31.05%, Top-3 Accuracy: 61.76%
[2024-03-18 18:50:01] Epoch [2/10], phase: train, samples: 58437, Loss: 0.0070, Top-1 Accuracy: 36.14%, Top-3 Accuracy: 68.12%
[2024-03-18 18:50:09] Epoch [2/10], phase: val, samples: 19479, Loss: 0.0070, Top-1 Accuracy: 37.88%, Top-3 Accuracy: 69.81%
[2024-03-18 18:50:34] Epoch [3/10], phase: train, samples: 58437, Loss: 0.0064, Top-1 Accuracy: 42.43%, Top-3 Accuracy: 74.22%
[2024-03-18 18:50:42] Epoch [3/10], phase: val, samples: 19479, Loss: 0.0071, Top-1 Accuracy: 38.84%, Top-3 Accuracy: 70.39%
[2024-03-18 18:51:07] Epoch [4/10], phase: train, samples: 58437, Loss: 0.0061, Top-1 Accuracy: 45.05%, Top-3 Accuracy: 76.06%
[2024-03-18 18:51:15] Epoch [4/10], phase: val, samples: 19479, Loss: 0.0070, Top-1 Accuracy: 40.22%, Top-3 Accuracy: 71.21%
[2024-03-18 18:51:43] Epoch [5/10], phase: train, samples: 58437, Loss: 0.0060, Top-1 Accuracy: 46.47%, Top-3 Accuracy: 76.94%
[2024-03-18 18:51:51] Epoch [5/10], phase: val, samples: 19479, Loss: 0.0070, Top-1 Accuracy: 40.72%, Top-3 Accuracy: 71.73%
[2024-03-18 18:52:17] Epoch [6/10], phase: train, samples: 58437, Loss: 0.0059, Top-1 Accuracy: 47.34%, Top-3 Accuracy: 77.62%
[2024-03-18 18:52:25] Epoch [6/10], phase: val, samples: 19479, Loss: 0.0069, Top-1 Accuracy: 41.04%, Top-3 Accuracy: 72.20%
[2024-03-18 18:52:51] Epoch [7/10], phase: train, samples: 58437, Loss: 0.0058, Top-1 Accuracy: 47.92%, Top-3 Accuracy: 78.09%
[2024-03-18 18:53:00] Epoch [7/10], phase: val, samples: 19479, Loss: 0.0069, Top-1 Accuracy: 41.44%, Top-3 Accuracy: 72.75%
[2024-03-18 18:53:27] Epoch [8/10], phase: train, samples: 58437, Loss: 0.0058, Top-1 Accuracy: 48.23%, Top-3 Accuracy: 78.35%
[2024-03-18 18:53:35] Epoch [8/10], phase: val, samples: 19479, Loss: 0.0069, Top-1 Accuracy: 41.47%, Top-3 Accuracy: 72.75%
[2024-03-18 18:54:03] Epoch [9/10], phase: train, samples: 58437, Loss: 0.0058, Top-1 Accuracy: 48.48%, Top-3 Accuracy: 78.68%
[2024-03-18 18:54:12] Epoch [9/10], phase: val, samples: 19479, Loss: 0.0069, Top-1 Accuracy: 41.52%, Top-3 Accuracy: 72.82%
[2024-03-18 18:54:40] Epoch [10/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 48.88%, Top-3 Accuracy: 78.90%
[2024-03-18 18:54:49] Epoch [10/10], phase: val, samples: 19479, Loss: 0.0068, Top-1 Accuracy: 42.08%, Top-3 Accuracy: 73.72%
[2024-03-18 18:55:15] Epoch [11/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 48.98%, Top-3 Accuracy: 79.16%
[2024-03-18 18:55:24] Epoch [11/10], phase: val, samples: 19479, Loss: 0.0068, Top-1 Accuracy: 42.26%, Top-3 Accuracy: 73.74%
[2024-03-18 18:55:49] Epoch [12/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.17%, Top-3 Accuracy: 79.22%
[2024-03-18 18:55:58] Epoch [12/10], phase: val, samples: 19479, Loss: 0.0067, Top-1 Accuracy: 43.40%, Top-3 Accuracy: 74.51%
[2024-03-18 18:56:24] Epoch [13/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.44%, Top-3 Accuracy: 79.39%
[2024-03-18 18:56:33] Epoch [13/10], phase: val, samples: 19479, Loss: 0.0066, Top-1 Accuracy: 44.24%, Top-3 Accuracy: 75.22%
[2024-03-18 18:56:59] Epoch [14/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.33%, Top-3 Accuracy: 79.43%
[2024-03-18 18:57:07] Epoch [14/10], phase: val, samples: 19479, Loss: 0.0066, Top-1 Accuracy: 44.73%, Top-3 Accuracy: 75.57%
[2024-03-18 18:57:34] Epoch [15/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.60%, Top-3 Accuracy: 79.52%
[2024-03-18 18:57:42] Epoch [15/10], phase: val, samples: 19479, Loss: 0.0065, Top-1 Accuracy: 44.94%, Top-3 Accuracy: 75.80%
[2024-03-18 18:58:08] Epoch [16/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.70%, Top-3 Accuracy: 79.56%
[2024-03-18 18:58:16] Epoch [16/10], phase: val, samples: 19479, Loss: 0.0068, Top-1 Accuracy: 43.25%, Top-3 Accuracy: 74.50%
[2024-03-18 18:58:44] Epoch [17/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.55%, Top-3 Accuracy: 79.45%
[2024-03-18 18:58:52] Epoch [17/10], phase: val, samples: 19479, Loss: 0.0071, Top-1 Accuracy: 41.77%, Top-3 Accuracy: 73.18%
[2024-03-18 18:59:20] Epoch [18/10], phase: train, samples: 58437, Loss: 0.0057, Top-1 Accuracy: 49.63%, Top-3 Accuracy: 79.52%
[2024-03-18 18:59:29] Epoch [18/10], phase: val, samples: 19479, Loss: 0.0071, Top-1 Accuracy: 41.79%, Top-3 Accuracy: 73.35%
[2024-03-18 18:59:56] Epoch [19/10], phase: train, samples: 58437, Loss: 0.0056, Top-1 Accuracy: 49.89%, Top-3 Accuracy: 79.80%
[2024-03-18 19:00:04] Epoch [19/10], phase: val, samples: 19479, Loss: 0.0069, Top-1 Accuracy: 42.88%, Top-3 Accuracy: 73.85%
[2024-03-18 19:00:31] Epoch [20/10], phase: train, samples: 58437, Loss: 0.0056, Top-1 Accuracy: 50.09%, Top-3 Accuracy: 79.95%
[2024-03-18 19:00:40] Epoch [20/10], phase: val, samples: 19479, Loss: 0.0071, Top-1 Accuracy: 41.98%, Top-3 Accuracy: 73.26%
Elapsed time: 697.8512082099915 seconds

model total parameters: 15,770
learning rate=0.05
