[2024-03-19 13:06:19] optimize small resnet
[2024-03-19 13:06:28] test modify Resnet18 resnet10_btnk_ch4n8
model total parameters: 4,430
learning rate=0.005
[2024-03-19 13:06:45] test modify Resnet18 resnet10_btnk_ch4n8
model total parameters: 5,106
learning rate=0.005
[2024-03-19 13:13:17] test modify Resnet18 resnet10_btnk_ch8n4
model total parameters: 6,482
learning rate=0.005
[2024-03-19 13:13:32] test modify Resnet18 resnet10_btnk_ch8n4
model total parameters: 5,806
learning rate=0.005
[2024-03-19 13:14:38] Epoch [1/20], phase: train, samples: 58437, Loss: 0.0058, Top-1 Accuracy: 46.12%, Top-3 Accuracy: 74.97%
[2024-03-19 13:15:00] Epoch [1/20], phase: val, samples: 19479, Loss: 0.0053, Top-1 Accuracy: 54.36%, Top-3 Accuracy: 83.24%
[2024-03-19 13:15:43] Epoch [2/20], phase: train, samples: 58437, Loss: 0.0023, Top-1 Accuracy: 81.78%, Top-3 Accuracy: 96.57%
[2024-03-19 13:15:55] Epoch [2/20], phase: val, samples: 19479, Loss: 0.0031, Top-1 Accuracy: 74.49%, Top-3 Accuracy: 94.40%
[2024-03-19 13:16:38] Epoch [3/20], phase: train, samples: 58437, Loss: 0.0016, Top-1 Accuracy: 87.04%, Top-3 Accuracy: 97.81%
[2024-03-19 13:16:50] Epoch [3/20], phase: val, samples: 19479, Loss: 0.0018, Top-1 Accuracy: 85.75%, Top-3 Accuracy: 97.65%
[2024-03-19 13:17:30] Epoch [4/20], phase: train, samples: 58437, Loss: 0.0014, Top-1 Accuracy: 89.09%, Top-3 Accuracy: 98.30%
[2024-03-19 13:17:43] Epoch [4/20], phase: val, samples: 19479, Loss: 0.0016, Top-1 Accuracy: 87.49%, Top-3 Accuracy: 98.01%
[2024-03-19 13:18:24] Epoch [5/20], phase: train, samples: 58437, Loss: 0.0012, Top-1 Accuracy: 90.12%, Top-3 Accuracy: 98.55%
[2024-03-19 13:18:37] Epoch [5/20], phase: val, samples: 19479, Loss: 0.0014, Top-1 Accuracy: 88.80%, Top-3 Accuracy: 98.19%
[2024-03-19 13:19:17] Epoch [6/20], phase: train, samples: 58437, Loss: 0.0012, Top-1 Accuracy: 90.87%, Top-3 Accuracy: 98.65%
[2024-03-19 13:19:29] Epoch [6/20], phase: val, samples: 19479, Loss: 0.0012, Top-1 Accuracy: 90.17%, Top-3 Accuracy: 98.64%
[2024-03-19 13:20:14] Epoch [7/20], phase: train, samples: 58437, Loss: 0.0011, Top-1 Accuracy: 91.48%, Top-3 Accuracy: 98.83%
[2024-03-19 13:20:26] Epoch [7/20], phase: val, samples: 19479, Loss: 0.0015, Top-1 Accuracy: 88.21%, Top-3 Accuracy: 98.18%
[2024-03-19 13:21:08] Epoch [8/20], phase: train, samples: 58437, Loss: 0.0010, Top-1 Accuracy: 91.83%, Top-3 Accuracy: 98.89%
[2024-03-19 13:21:21] Epoch [8/20], phase: val, samples: 19479, Loss: 0.0013, Top-1 Accuracy: 89.44%, Top-3 Accuracy: 98.58%
[2024-03-19 13:22:02] Epoch [9/20], phase: train, samples: 58437, Loss: 0.0010, Top-1 Accuracy: 92.23%, Top-3 Accuracy: 98.99%
[2024-03-19 13:22:14] Epoch [9/20], phase: val, samples: 19479, Loss: 0.0042, Top-1 Accuracy: 68.54%, Top-3 Accuracy: 93.16%
[2024-03-19 13:22:55] Epoch [10/20], phase: train, samples: 58437, Loss: 0.0009, Top-1 Accuracy: 92.53%, Top-3 Accuracy: 99.03%
[2024-03-19 13:23:06] Epoch [10/20], phase: val, samples: 19479, Loss: 0.0091, Top-1 Accuracy: 52.60%, Top-3 Accuracy: 81.02%
[2024-03-19 13:23:47] Epoch [11/20], phase: train, samples: 58437, Loss: 0.0009, Top-1 Accuracy: 92.87%, Top-3 Accuracy: 99.07%
[2024-03-19 13:23:59] Epoch [11/20], phase: val, samples: 19479, Loss: 0.0046, Top-1 Accuracy: 68.37%, Top-3 Accuracy: 92.01%
[2024-03-19 13:24:42] Epoch [12/20], phase: train, samples: 58437, Loss: 0.0009, Top-1 Accuracy: 93.05%, Top-3 Accuracy: 99.14%
[2024-03-19 13:24:55] Epoch [12/20], phase: val, samples: 19479, Loss: 0.0149, Top-1 Accuracy: 45.18%, Top-3 Accuracy: 67.49%
[2024-03-19 13:25:40] Epoch [13/20], phase: train, samples: 58437, Loss: 0.0008, Top-1 Accuracy: 93.36%, Top-3 Accuracy: 99.17%
[2024-03-19 13:25:53] Epoch [13/20], phase: val, samples: 19479, Loss: 0.0018, Top-1 Accuracy: 85.94%, Top-3 Accuracy: 97.51%
[2024-03-19 13:33:47] optimize small resnet
[2024-03-19 13:34:00] test modify Resnet18 resnet10_btnk_ch4n4n8n8
model total parameters: 5,806
learning rate=0.005
[2024-03-19 13:34:53] Epoch [1/20], phase: train, samples: 58437, Loss: 0.0054, Top-1 Accuracy: 50.45%, Top-3 Accuracy: 78.48%
[2024-03-19 13:35:06] Epoch [1/20], phase: val, samples: 19479, Loss: 0.0039, Top-1 Accuracy: 66.04%, Top-3 Accuracy: 92.04%
[2024-03-19 13:35:46] Epoch [2/20], phase: train, samples: 58437, Loss: 0.0025, Top-1 Accuracy: 79.17%, Top-3 Accuracy: 96.07%
[2024-03-19 13:35:59] Epoch [2/20], phase: val, samples: 19479, Loss: 0.0032, Top-1 Accuracy: 72.92%, Top-3 Accuracy: 94.63%
[2024-03-19 13:36:38] Epoch [3/20], phase: train, samples: 58437, Loss: 0.0017, Top-1 Accuracy: 86.27%, Top-3 Accuracy: 97.75%
[2024-03-19 13:36:52] Epoch [3/20], phase: val, samples: 19479, Loss: 0.0041, Top-1 Accuracy: 69.50%, Top-3 Accuracy: 91.96%
[2024-03-19 13:37:34] Epoch [4/20], phase: train, samples: 58437, Loss: 0.0013, Top-1 Accuracy: 89.27%, Top-3 Accuracy: 98.40%
[2024-03-19 13:37:47] Epoch [4/20], phase: val, samples: 19479, Loss: 0.0025, Top-1 Accuracy: 81.77%, Top-3 Accuracy: 95.77%
[2024-03-19 13:38:29] Epoch [5/20], phase: train, samples: 58437, Loss: 0.0012, Top-1 Accuracy: 90.76%, Top-3 Accuracy: 98.71%
[2024-03-19 13:38:43] Epoch [5/20], phase: val, samples: 19479, Loss: 0.0026, Top-1 Accuracy: 82.94%, Top-3 Accuracy: 95.84%
[2024-03-19 13:39:31] Epoch [6/20], phase: train, samples: 58437, Loss: 0.0011, Top-1 Accuracy: 91.70%, Top-3 Accuracy: 98.96%
[2024-03-19 13:39:45] Epoch [6/20], phase: val, samples: 19479, Loss: 0.0025, Top-1 Accuracy: 83.71%, Top-3 Accuracy: 95.67%
[2024-03-19 13:40:25] Epoch [7/20], phase: train, samples: 58437, Loss: 0.0010, Top-1 Accuracy: 92.48%, Top-3 Accuracy: 99.07%
[2024-03-19 13:40:38] Epoch [7/20], phase: val, samples: 19479, Loss: 0.0023, Top-1 Accuracy: 83.10%, Top-3 Accuracy: 96.29%
[2024-03-19 13:41:18] Epoch [8/20], phase: train, samples: 58437, Loss: 0.0009, Top-1 Accuracy: 92.93%, Top-3 Accuracy: 99.19%
[2024-03-19 13:41:31] Epoch [8/20], phase: val, samples: 19479, Loss: 0.0029, Top-1 Accuracy: 77.89%, Top-3 Accuracy: 95.23%
[2024-03-19 13:44:18] Epoch [9/20], phase: train, samples: 58437, Loss: 0.0009, Top-1 Accuracy: 93.37%, Top-3 Accuracy: 99.21%
[2024-03-19 13:45:31] Epoch [9/20], phase: val, samples: 19479, Loss: 0.0011, Top-1 Accuracy: 91.88%, Top-3 Accuracy: 98.84%
[2024-03-19 13:47:26] Epoch [10/20], phase: train, samples: 58437, Loss: 0.0008, Top-1 Accuracy: 93.63%, Top-3 Accuracy: 99.26%
[2024-03-19 13:47:38] Epoch [10/20], phase: val, samples: 19479, Loss: 0.0011, Top-1 Accuracy: 91.45%, Top-3 Accuracy: 98.62%
[2024-03-19 13:48:16] Epoch [11/20], phase: train, samples: 58437, Loss: 0.0008, Top-1 Accuracy: 93.91%, Top-3 Accuracy: 99.32%
[2024-03-19 13:48:28] Epoch [11/20], phase: val, samples: 19479, Loss: 0.0016, Top-1 Accuracy: 88.42%, Top-3 Accuracy: 97.79%
[2024-03-19 13:49:12] Epoch [12/20], phase: train, samples: 58437, Loss: 0.0008, Top-1 Accuracy: 94.01%, Top-3 Accuracy: 99.32%
[2024-03-19 13:49:25] Epoch [12/20], phase: val, samples: 19479, Loss: 0.0011, Top-1 Accuracy: 92.07%, Top-3 Accuracy: 98.80%
[2024-03-19 13:50:10] Epoch [13/20], phase: train, samples: 58437, Loss: 0.0007, Top-1 Accuracy: 94.27%, Top-3 Accuracy: 99.37%
[2024-03-19 13:50:22] Epoch [13/20], phase: val, samples: 19479, Loss: 0.0013, Top-1 Accuracy: 90.62%, Top-3 Accuracy: 98.51%
[2024-03-19 13:51:08] Epoch [14/20], phase: train, samples: 58437, Loss: 0.0007, Top-1 Accuracy: 94.35%, Top-3 Accuracy: 99.36%
[2024-03-19 13:51:23] Epoch [14/20], phase: val, samples: 19479, Loss: 0.0012, Top-1 Accuracy: 91.18%, Top-3 Accuracy: 98.57%
[2024-03-19 13:52:04] Epoch [15/20], phase: train, samples: 58437, Loss: 0.0007, Top-1 Accuracy: 94.55%, Top-3 Accuracy: 99.41%
[2024-03-19 13:52:16] Epoch [15/20], phase: val, samples: 19479, Loss: 0.0012, Top-1 Accuracy: 91.24%, Top-3 Accuracy: 98.67%
[2024-03-19 13:52:58] Epoch [16/20], phase: train, samples: 58437, Loss: 0.0007, Top-1 Accuracy: 94.61%, Top-3 Accuracy: 99.45%
[2024-03-19 13:53:09] Epoch [16/20], phase: val, samples: 19479, Loss: 0.0010, Top-1 Accuracy: 92.42%, Top-3 Accuracy: 98.88%
[2024-03-19 13:53:48] Epoch [17/20], phase: train, samples: 58437, Loss: 0.0007, Top-1 Accuracy: 94.87%, Top-3 Accuracy: 99.45%
[2024-03-19 13:54:00] Epoch [17/20], phase: val, samples: 19479, Loss: 0.0010, Top-1 Accuracy: 92.00%, Top-3 Accuracy: 98.84%
[2024-03-19 13:54:40] Epoch [18/20], phase: train, samples: 58437, Loss: 0.0006, Top-1 Accuracy: 94.89%, Top-3 Accuracy: 99.47%
[2024-03-19 13:54:54] Epoch [18/20], phase: val, samples: 19479, Loss: 0.0010, Top-1 Accuracy: 92.05%, Top-3 Accuracy: 98.76%
[2024-03-19 13:55:39] Epoch [19/20], phase: train, samples: 58437, Loss: 0.0006, Top-1 Accuracy: 94.95%, Top-3 Accuracy: 99.50%
[2024-03-19 13:55:52] Epoch [19/20], phase: val, samples: 19479, Loss: 0.0009, Top-1 Accuracy: 92.85%, Top-3 Accuracy: 98.94%
[2024-03-19 13:56:34] Epoch [20/20], phase: train, samples: 58437, Loss: 0.0006, Top-1 Accuracy: 95.10%, Top-3 Accuracy: 99.49%
[2024-03-19 13:56:49] Epoch [20/20], phase: val, samples: 19479, Loss: 0.0011, Top-1 Accuracy: 91.56%, Top-3 Accuracy: 98.59%
Elapsed time: 1368.0128908157349 seconds
